Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
140, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Elniakalnis, Elniakalnio kaimas
141, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Gabiai, Gabių kaimas
142, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Galginai, Galginų kaimas
143, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Grigaliūniškės, Grigaliūniškių kaimas
144, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Grigaliūnai, Grigaliūnų kaimas
145, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Kižiškės, Kižiškių kaimas
146, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Klevinkalnis, Klevinkalnio kaimas
147, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Limarkai, Limarkų kaimas
148, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Linmargis, Linmargio kaimas
149, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Morkaviškis, Morkaviškio kaimas
150, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Pavabalkšnis, Pavabalkšnio kaimas
151, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Pentupiai, Pentupių kaimas
152, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Pinkaviškis, Pinkaviškio kaimas
153, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Rėkaviškis, Rėkaviškio kaimas
154, LIETUVOS RESPUBLIKA, Marijampolės apskritis, Kazlų Rūdos savivaldybė, Plutiškių seniūnija, Rusinka, Rusinkos kaimas
