Id, Country, County, Municipality, CivilParish, City, City_genitive, Street
123, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Arnotiškiai, Arnotiškių kaimas
124, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Aukštakaimis, Aukštakaimio kaimas
125, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Ąžuolynė, Ąžuolynės kaimas
126, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Bajoriškiai, Bajoriškių kaimas
127, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Baltromiškė, Baltromiškės kaimas
128, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Būda, Būdos kaimas
129, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Dienovidžiai, Dienovidžių kaimas
130, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Dubiai, Dubių kaimas
131, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Eglinė, Eglinės kaimas
132, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Galijevka, Galijevkos kaimas
133, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Gegutės, Gegučių kaimas
134, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Gegužinė, Gegužinės kaimas
135, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Jakimauka, Jakimaukos kaimas
136, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Karčiškiai, Karčiškių kaimas
137, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Karčiai, Karčių kaimas
138, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Karveliškiai, Karveliškių kaimas
139, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Keižonys, Keižonių kaimas
140, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Kernaviškiai, Kernaviškių kaimas
141, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Kryžiauka, Kryžiaukos kaimas
142, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Kunigiškiai, Kunigiškių kaimas
143, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Kūniškiai, Kūniškių kaimas
144, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Upninkų seniūnija, Liudvikiškiai, Liudvikiškių kaimas
145, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Būdos II, Būdų II kaimas
146, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Būdos III, Būdų III kaimas
147, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Būdos IV, Būdų IV kaimas
148, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Būdos V, Būdų V kaimas
149, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Daukliūnai, Daukliūnų kaimas
150, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Didysis Raistas, Didžiojo Raisto kaimas
151, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Gireliai, Girelių kaimas
152, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Kalnėnai, Kalnėnų glž. st.
153, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Kungušilai, Kungušilų kaimas
154, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Mikainiai, Mikainių kaimas
155, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Naujatriobiai, Naujatriobių kaimas
156, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Pabiržis, Pabiržio kaimas
157, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Pagojis, Pagojo kaimas
158, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Paskutiškiai, Paskutiškių kaimas
159, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Pašiliai, Pašilių kaimas
160, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Sunkiniai, Sunkinių kaimas
161, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Šafarka, Šafarkos kaimas
162, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Užusalių seniūnija, Šešuva, Šešuvos kaimas
163, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Akliai, Aklių kaimas
164, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Akmeniai, Akmenių kaimas
165, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Barsukinė, Barsukinės kaimas
166, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Biliuškiai, Biliuškių kaimas
167, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Blauzdžiai, Blauzdžių kaimas
168, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Drobiškiai, Drobiškių kaimas
169, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Gireliai, Girelių kaimas
170, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Jagėlava, Jagėlavos kaimas
171, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Juljanava, Juljanavos kaimas
172, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Liepkalnis, Liepkalnio kaimas
173, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Martyniškis, Martyniškio kaimas
174, LIETUVOS RESPUBLIKA, Kauno apskritis, Jonavos rajono savivaldybė, Žeimių seniūnija, Milašiškiai, Milašiškių kaimas
